programa	-1	-1	1
miPrograma@	-55	-2	1
;	-75	-1	1
variables	-15	-1	2
entero	-11	-1	3
x&	-51	-2	3
,	-76	-1	3
y&	-51	-2	3
;	-75	-1	3
real	-12	-1	4
numero%	-52	-2	4
,	-76	-1	4
valor%	-52	-2	4
;	-75	-1	4
cadena	-13	-1	5
mensaje$	-53	-2	5
;	-75	-1	5
logico	-14	-1	6
bandera#	-54	-2	6
,	-76	-1	6
estado#	-54	-2	6
;	-75	-1	6
inicio	-2	-1	7
leer	-4	-1	8
(	-73	-1	8
x&	-51	-2	8
)	-74	-1	8
;	-75	-1	8
escribir	-5	-1	9
(	-73	-1	9
x&	-51	-2	9
)	-74	-1	9
;	-75	-1	9
si	-6	-1	10
(	-73	-1	10
x&	-51	-2	10
>	-33	-1	10
y&	-51	-2	10
)	-74	-1	10
entonces	-16	-1	10
inicio	-2	-1	11
leer	-4	-1	12
(	-73	-1	12
numero%	-52	-2	12
)	-74	-1	12
;	-75	-1	12
x&	-51	-2	13
=	-26	-1	13
y&	-51	-2	13
*	-21	-1	13
5	-61	-1	13
;	-75	-1	13
escribir	-5	-1	14
(	-73	-1	14
x&	-51	-2	14
)	-74	-1	14
;	-75	-1	14
fin	-3	-1	15
sino	-7	-1	16
inicio	-2	-1	17
leer	-4	-1	18
(	-73	-1	18
bandera#	-54	-2	18
)	-74	-1	18
;	-75	-1	18
fin	-3	-1	19
fin	-3	-1	20
mientras	-8	-1	21
(	-73	-1	21
bandera#	-54	-2	21
==	-35	-1	21
verdadero	-50	-2	21
)	-74	-1	21
hacer	-17	-1	21
leer	-4	-1	22
(	-73	-1	22
valor%	-52	-2	22
)	-74	-1	22
;	-75	-1	22
numero%	-52	-2	23
=	-26	-1	23
100.0	-62	-1	23
/	-22	-1	23
valor%	-52	-2	23
+	-24	-1	23
20.5	-62	-1	23
;	-75	-1	23
escribir	-5	-1	24
(	-73	-1	24
mensaje$	-53	-2	24
)	-74	-1	24
;	-75	-1	24
repetir	-9	-1	25
"¿Continuar? s/n"	-63	-1	26
escribir	-5	-1	26
(	-73	-1	26
)	-74	-1	26
;	-75	-1	26
leer	-4	-1	27
(	-73	-1	27
mensaje$	-53	-2	27
)	-74	-1	27
;	-75	-1	27
"n"	-63	-1	28
hasta	-10	-1	28
(	-73	-1	28
mensaje$	-53	-2	28
==	-35	-1	28
)	-74	-1	28
;	-75	-1	28
fin	-3	-1	29
"Programa terminado"	-63	-1	30
escribir	-5	-1	30
(	-73	-1	30
)	-74	-1	30
;	-75	-1	30
fin	-3	-1	31
